,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr
148,1,1436,35,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
149,1,1436,43,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
150,1,1436,45,ORG,Tatmadaw,Tatmadaw,Tatmadaw
151,1,1436,45,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
152,1,1436,48,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
153,1,1436,52,ORG,Tatmadaw,Tatmadaw,Tatmadaw
154,1,1436,55,ORG,Tatmadaw,Tatmadaw,Tatmadaw
159,1,1436,77,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
160,1,1436,77,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
162,1,1436,77,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
163,1,1436,82,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
164,1,1436,83,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
165,1,1436,83,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
166,1,1436,83,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
167,1,1436,83,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
168,1,1436,83,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
169,1,1436,84,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
170,1,1436,85,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
171,1,1436,87,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
172,1,1436,88,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
175,1,1436,93,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
176,1,1436,95,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
179,1,1436,97,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
180,1,1436,101,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
183,1,1436,105,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
187,1,1436,106,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
188,1,1436,106,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
190,1,1436,110,ORG,Hluttaw,Hluttaw,Hluttaw
192,1,1436,113,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
193,1,1436,114,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
194,1,1436,114,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
196,1,1436,120,ORG,Hluttaw,Hluttaw,Hluttaw
197,1,1436,120,ORG,Tatmadaw,Tatmadaw,Tatmadaw
198,1,1436,120,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
203,1,1436,130,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
204,1,1436,132,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
206,1,1436,140,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
207,1,1436,141,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
208,1,1436,141,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
209,1,1436,142,ORG,Hluttaw,Hluttaw,Hluttaw
210,1,1436,143,ORG,Hluttaw,Hluttaw,Hluttaw
215,1,1436,156,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC
218,1,1436,161,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
220,1,1436,162,ORG,Hluttaw,Hluttaw,Hluttaw
221,1,1436,162,ORG,Tatmadaw,Tatmadaw,Tatmadaw
222,1,1436,168,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC
226,1,1436,169,ORG,Union Peacemaking Working Committee (UPWC),Union Peacemaking Working Committee (UPWC),UPWC
228,2,1518,0,ORG,Food and Drug Administration (FDA),Food and Drug Administration (FDA),FDA
229,2,1518,0,ORG,Nationalities Brotherhood Federation (NBF),Nationalities Brotherhood Federation (NBF),NBF
230,2,1518,0,ORG,National League Democracy (NLD),National League Democracy (NLD),NLD
232,2,1518,0,ORG,United Nationalities Alliance (UNA),United Nationalities Alliance (UNA),UNA
233,2,1518,0,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC
253,2,1518,47,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC
260,2,1518,84,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC
273,2,1518,138,ORG,Union Election Commission (UEC),Union Election Commission (UEC),UEC
283,3,1519,0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
284,3,1519,0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
286,3,1519,0,ORG,Tatmadaw,Tatmadaw,Tatmadaw
290,3,1519,0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO
291,3,1519,0,ORG,Hluttaw,Hluttaw,Hluttaw
302,3,1519,18,ORG,Tatmadaw,Tatmadaw,Tatmadaw
309,3,1519,31,ORG,Hluttaw,Hluttaw,Hluttaw
310,3,1519,33,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
311,3,1519,33,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
314,3,1519,35,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
315,3,1519,37,ORG,Tatmadaw,Tatmadaw,Tatmadaw
321,3,1519,45,ORG,Tatmadaw,Tatmadaw,Tatmadaw
325,3,1519,56,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
327,3,1519,58,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
329,3,1519,58,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
331,3,1519,64,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
334,3,1519,75,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
345,3,1519,99,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
346,3,1519,99,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
349,3,1519,101,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
350,3,1519,101,ORG,Tatmadaw,Tatmadaw,Tatmadaw
353,3,1519,104,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
354,3,1519,106,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
356,3,1519,108,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
357,3,1519,108,ORG,Hluttaw,Hluttaw,Hluttaw
358,3,1519,110,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
360,3,1519,111,ORG,Tatmadaw,Tatmadaw,Tatmadaw
361,3,1519,112,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
363,3,1519,113,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
365,3,1519,114,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
376,3,1519,126,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
378,3,1519,128,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
380,3,1519,129,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
382,3,1519,130,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
385,3,1519,141,ORG,Hluttaw,Hluttaw,Hluttaw
389,3,1519,150,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
393,3,1519,153,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC
398,4,1544,1,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
