,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER
115,0.0,1321,64.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
123,1.0,1436,0.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
124,1.0,1436,0.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
125,1.0,1436,0.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
131,1.0,1436,6.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
136,1.0,1436,17.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
139,1.0,1436,22.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
140,1.0,1436,23.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
142,1.0,1436,23.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
143,1.0,1436,25.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
145,1.0,1436,27.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
146,1.0,1436,29.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
148,1.0,1436,35.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
149,1.0,1436,43.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
150,1.0,1436,45.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
151,1.0,1436,45.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
152,1.0,1436,48.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
153,1.0,1436,52.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
154,1.0,1436,55.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
159,1.0,1436,77.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
160,1.0,1436,77.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
162,1.0,1436,77.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
163,1.0,1436,82.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
164,1.0,1436,83.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
165,1.0,1436,83.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
166,1.0,1436,83.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
167,1.0,1436,83.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
168,1.0,1436,83.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
169,1.0,1436,84.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
170,1.0,1436,85.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
171,1.0,1436,87.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
172,1.0,1436,88.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
175,1.0,1436,93.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
176,1.0,1436,95.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
179,1.0,1436,97.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
180,1.0,1436,101.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
183,1.0,1436,105.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
187,1.0,1436,106.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
188,1.0,1436,106.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
190,1.0,1436,110.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
192,1.0,1436,113.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
193,1.0,1436,114.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
194,1.0,1436,114.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
196,1.0,1436,120.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
197,1.0,1436,120.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
198,1.0,1436,120.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
203,1.0,1436,130.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
204,1.0,1436,132.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
206,1.0,1436,140.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
207,1.0,1436,141.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
208,1.0,1436,141.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
209,1.0,1436,142.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
210,1.0,1436,143.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
215,1.0,1436,156.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
218,1.0,1436,161.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
220,1.0,1436,162.0,ORG,Hluttaw,Hluttaw,Hluttaw,SpaCy
