,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr,NER
505,5.0,1545,72.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
506,5.0,1545,72.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
507,5.0,1545,73.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
508,5.0,1545,75.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
509,5.0,1545,76.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
510,5.0,1545,78.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
511,5.0,1545,82.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
513,5.0,1545,84.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
514,5.0,1545,86.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
515,5.0,1545,87.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
516,5.0,1545,87.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
517,5.0,1545,88.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
518,5.0,1545,88.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
519,5.0,1545,90.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
525,5.0,1545,94.0,ORG,Ethnic Armed Organizations (EAO),Ethnic Armed Organizations (EAO),EAO,SpaCy
529,5.0,1545,96.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
531,5.0,1545,97.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
532,5.0,1545,97.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
533,5.0,1545,98.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
535,5.0,1545,100.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
537,5.0,1545,102.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
538,5.0,1545,104.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
539,5.0,1545,107.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
540,5.0,1545,109.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
541,5.0,1545,109.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
542,5.0,1545,109.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
543,5.0,1545,109.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
544,5.0,1545,111.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
546,5.0,1545,112.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
547,5.0,1545,112.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
548,5.0,1545,114.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
549,5.0,1545,114.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
550,5.0,1545,114.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
554,5.0,1545,115.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
555,5.0,1545,115.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
556,5.0,1545,116.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
557,5.0,1545,116.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
559,5.0,1545,117.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
560,5.0,1545,119.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
561,5.0,1545,119.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
564,5.0,1545,122.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
565,5.0,1545,122.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
566,5.0,1545,124.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
567,5.0,1545,126.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
568,5.0,1545,128.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
570,5.0,1545,130.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
571,5.0,1545,130.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
573,5.0,1545,131.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
574,5.0,1545,131.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
576,5.0,1545,132.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
577,5.0,1545,133.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
578,5.0,1545,135.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
579,5.0,1545,136.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
580,5.0,1545,136.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
581,5.0,1545,138.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
582,5.0,1545,142.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
584,5.0,1545,143.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
585,5.0,1545,145.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
586,5.0,1545,146.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
587,5.0,1545,147.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
588,5.0,1545,147.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
589,5.0,1545,147.0,ORG,Joint Ceasefire Monitoring Committee (JCMC),Joint Ceasefire Monitoring Committee (JCMC),JCMC,SpaCy
590,5.0,1545,147.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
591,5.0,1545,149.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
596,5.0,1545,150.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
597,5.0,1545,150.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
598,5.0,1545,150.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
599,5.0,1545,151.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
600,5.0,1545,152.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
601,5.0,1545,152.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
602,5.0,1545,154.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
603,5.0,1545,154.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
604,5.0,1545,156.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
605,5.0,1545,156.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
606,5.0,1545,157.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
607,5.0,1545,157.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
608,5.0,1545,159.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
609,5.0,1545,159.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
610,5.0,1545,162.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
611,5.0,1545,164.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
612,5.0,1545,166.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
614,5.0,1545,168.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
615,5.0,1545,168.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
616,5.0,1545,170.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
617,5.0,1545,172.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
619,5.0,1545,173.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
620,5.0,1545,174.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
621,5.0,1545,176.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
622,5.0,1545,179.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
624,5.0,1545,181.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
625,5.0,1545,182.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
626,5.0,1545,184.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
628,5.0,1545,186.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
629,5.0,1545,186.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
630,5.0,1545,186.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
633,5.0,1545,187.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
634,5.0,1545,188.0,ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U,SpaCy
635,5.0,1545,188.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
636,5.0,1545,188.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
637,5.0,1545,188.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
639,5.0,1545,189.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
640,5.0,1545,189.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
641,5.0,1545,190.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
644,5.0,1545,194.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
645,5.0,1545,195.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
648,5.0,1545,198.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
649,5.0,1545,199.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
651,5.0,1545,200.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
655,5.0,1545,203.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
658,5.0,1545,205.0,ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L,SpaCy
659,5.0,1545,206.0,ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S,SpaCy
660,5.0,1545,207.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
661,5.0,1545,209.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
662,5.0,1545,211.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
663,5.0,1545,212.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
664,5.0,1545,214.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
665,5.0,1545,215.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
666,5.0,1545,216.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
667,5.0,1545,218.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
668,5.0,1545,220.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
669,5.0,1545,220.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
670,5.0,1545,220.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
671,5.0,1545,222.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
672,5.0,1545,224.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
673,5.0,1545,226.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
674,5.0,1545,226.0,ORG,Joint Monitoring Committee (JMC),Joint Monitoring Committee (JMC),JMC,SpaCy
677,6.0,1546,0.0,ORG,All Burma Students Democratic Front (ABSDF),All Burma Students Democratic Front (ABSDF),ABSDF,SpaCy
678,6.0,1546,4.0,ORG,All Burma Students Democratic Front (ABSDF),All Burma Students Democratic Front (ABSDF),ABSDF,SpaCy
679,6.0,1546,5.0,ORG,All Burma Students Democratic Front (ABSDF),All Burma Students Democratic Front (ABSDF),ABSDF,SpaCy
680,6.0,1546,6.0,ORG,All Burma Students Democratic Front (ABSDF),All Burma Students Democratic Front (ABSDF),ABSDF,SpaCy
683,6.0,1546,9.0,ORG,All Burma Students Democratic Front (ABSDF),All Burma Students Democratic Front (ABSDF),ABSDF,SpaCy
685,7.0,1550,0.0,ORG,Karenni National Progressive Party (KNPP),Karenni National Progressive Party (KNPP),KNPP,SpaCy
686,7.0,1550,0.0,ORG,Karenni National Progressive Party (KNPP),Karenni National Progressive Party (KNPP),KNPP,SpaCy
687,7.0,1550,1.0,ORG,Karenni National Progressive Party (KNPP),Karenni National Progressive Party (KNPP),KNPP,SpaCy
690,7.0,1550,1.0,ORG,Karenni National Progressive Party (KNPP),KNPP,KNPP,SpaCy
692,7.0,1550,3.0,ORG,Karenni National Progressive Party (KNPP),Karenni National Progressive Party (KNPP),KNPP,SpaCy
696,7.0,1550,10.0,ORG,Karenni National Progressive Party (KNPP),Karenni National Progressive Party (KNPP),KNPP,SpaCy
698,8.0,1551,0.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
700,8.0,1551,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
701,8.0,1551,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
704,8.0,1551,1.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
708,8.0,1551,2.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
709,8.0,1551,2.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
711,8.0,1551,4.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
712,8.0,1551,4.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
713,8.0,1551,4.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
721,8.0,1551,5.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
725,8.0,1551,6.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
736,8.0,1551,9.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
739,8.0,1551,12.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
740,8.0,1551,12.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
748,8.0,1551,16.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
750,8.0,1551,16.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
751,8.0,1551,17.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
752,8.0,1551,18.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
759,8.0,1551,22.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
765,8.0,1551,23.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
767,8.0,1551,24.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
769,8.0,1551,24.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
770,8.0,1551,24.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
771,8.0,1551,25.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
775,8.0,1551,26.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
777,8.0,1551,28.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
778,8.0,1551,28.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
780,8.0,1551,29.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
781,8.0,1551,31.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
783,8.0,1551,33.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
784,8.0,1551,33.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
786,8.0,1551,34.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
787,8.0,1551,35.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
790,8.0,1551,36.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
791,8.0,1551,37.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
792,8.0,1551,37.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
796,8.0,1551,47.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
799,8.0,1551,47.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
800,8.0,1551,47.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
803,8.0,1551,50.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
804,8.0,1551,50.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
805,8.0,1551,50.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
812,8.0,1551,53.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
813,8.0,1551,53.0,ORG,Chin National Front (CNF),Chin National Front (CNF),CNF,SpaCy
816,8.0,1551,53.0,ORG,Union Peace Dialogue Joint Committee (UPDJC),Union Peace Dialogue Joint Committee (UPDJC),UPDJC,SpaCy
834,10.0,1553,0.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
835,10.0,1553,0.0,ORG,Government of the Republic of the Union of Myanmar,Government of the Republic of the Union of Myanmar,Gov. of Myanmar,SpaCy
836,10.0,1553,0.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
838,10.0,1553,1.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
839,10.0,1553,2.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
840,10.0,1553,3.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
841,10.0,1553,3.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
842,10.0,1553,4.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
843,10.0,1553,5.0,ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA,SpaCy
885,12.0,1557,0.0,ORG,New Mon State Party (NMSP),New Mon State Party (NMSP),NMSP,SpaCy
889,12.0,1557,1.0,ORG,New Mon State Party (NMSP),New Mon State Party (NMSP),NMSP,SpaCy
899,12.0,1557,7.0,ORG,New Mon State Party (NMSP),New Mon State Party (NMSP),NMSP,SpaCy
908,13.0,1558,0.0,ORG,National Socialist Council of Nagaland (NSCN),National Socialist Council of Nagaland (NSCN),NSCN,SpaCy
909,13.0,1558,0.0,ORG,National Socialist Council of Nagaland (NSCN),National Socialist Council of Nagaland (NSCN),NSCN,SpaCy
914,13.0,1558,2.0,ORG,Tatmadaw,Tatmadaw,Tatmadaw,SpaCy
