,doc_id,agreement_id,sentence_number,entity_type,entity_named,entity_affiliated_org,entity_affiliated_org_abr
1175,27,1841,58,PERSON,Gen. Saw Mo Shay,DKBA,DKBA
1176,27,1841,59,PERSON,Koon Abel Tweed,KNPP,KNPP
1178,27,1841,62,PERSON,Col. Saw Kyaw Dah,KNU,KNU/KNLA
1181,27,1841,63,PERSON,Kya Khunsa,Lahu Democratic Union,LDU
1193,28,2369,8,PERSON,Dr. Tin Myo Win,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1195,28,2369,9,PERSON,Dr. May Win Myint,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1200,28,2369,12,PERSON,U Thu Wai,Political Parties Group,
1202,28,2369,12,PERSON,U Kyaw Win,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1267,31,771,0,PERSON,U Aung Min,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1268,31,771,0,PERSON,U Thein Sein,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1269,31,771,0,PERSON,Pu Zing Cung,CNF,CNF
1272,31,771,0,PERSON,Dr. Sui Khar,CNF,CNF
1327,31,771,16,PERSON,U Aung Min,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1329,31,771,16,PERSON,U Win Htun,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1330,31,771,16,PERSON,U Hung Ngai,Chin State Government,
1374,35,776,4,PERSON,Htein Lin,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
