,agreement_id,Person,Mentions per agreement,AgtId,Date,Stage,per_correction,person_affiliation
147,1562,U Soe Tint,1,1562,28/01/2012,Cea,U Soe Tint,
148,1562,U Tun Tun Oo,1,1562,28/01/2012,Cea,U Tun Tun Oo,Gov
149,1564,General Secretary Naw Zipporah Sein,1,1564,07/04/2012,Cea,General Secretary Naw Zipporah Sein,KNU/KNLA
150,1578,U Saw Lah Pwe,1,1578,11/12/2011,Cea,U Saw Lah Pwe,DKBA-5
151,1580,U Khin Mg Soe,1,1580,23/03/2013,Cea,U Khin Mg Soe,UPWC
152,1580,U Khun Myint Htun,1,1580,23/03/2013,Cea,U Khun Myint Htun,
153,1580,U Khun Okkar,1,1580,23/03/2013,Cea,U Khun Okkar,PNLO
154,1841,Col. Saw Kyaw Dah,1,1841,02/11/2013,Cea,Col. Saw Kyaw Dah,KNU/KNLA
155,1841,Gen. Saw Mo Shay,1,1841,02/11/2013,Cea,Gen. Saw Mo Shay,DKBA
156,1841,Hpon Da Shwin,1,1841,02/11/2013,Cea,Hpon Da Shwin,Myanmar National Democratic Alliance Army
157,1841,Khaing Thuka,1,1841,02/11/2013,Cea,Khaing Thuka,Arakan Liberation Party
158,1841,Koon Abel Tweed,1,1841,02/11/2013,Cea,Koon Abel Tweed,KNPP
159,1841,Kya Khunsa,1,1841,02/11/2013,Cea,Kya Khunsa,LDU
160,1841,Pu Zin Cun,1,1841,02/11/2013,Cea,Pu Zin Cun,CNF
161,1841,Saw Mutu Say Po,1,1841,02/11/2013,Cea,Saw Mutu Say Po,KNU/KNLA
162,1841,U Tun Mrat Naing,1,1841,02/11/2013,Cea,U Tun Mrat Naing,AA
163,1841,U Twan Zaw,1,1841,02/11/2013,Cea,U Twan Zaw,
164,2369,Daw Khin Ma Ma Myo,1,2369,21/08/2020,SubPar,Daw Khin Ma Ma Myo,EAO
165,2369,Dr. May Win Myint,1,2369,21/08/2020,SubPar,Dr. May Win Myint,Gov. of Myanmar
166,2369,Dr. Tin Myo Win,1,2369,21/08/2020,SubPar,Dr. Tin Myo Win,Gov. of Myanmar
167,2369,Kya Sha Mwe,1,2369,21/08/2020,SubPar,Kya Sha Mwe,EAO
168,2369,Lian Hmung Sakhong,1,2369,21/08/2020,SubPar,Lian Hmung Sakhong,EAO
169,2369,Lt-Gen Tin Maug Win,1,2369,21/08/2020,SubPar,Lt-Gen Tin Maug Win,Tatmadaw
170,2369,Nang Aye Aye Thwe,1,2369,21/08/2020,SubPar,Nang Aye Aye Thwe,Political Parties Group
171,2369,U Htone Phoo Dagon,1,2369,21/08/2020,SubPar,U Htone Phoo Dagon,Ethnic Representative Government Group
172,2369,U Kyaw Win,1,2369,21/08/2020,SubPar,U Kyaw Win,Gov. of Myanmar
173,2369,U Thu Wai,1,2369,21/08/2020,SubPar,U Thu Wai,
174,2369,U Zein Khan Ram,1,2369,21/08/2020,SubPar,U Zein Khan Ram,
