doc_id,agreement_id,sentence_number,entity,entity_type,org_correction,corrected_entity_org,entity_correction,entity_abr
1,1436,77, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,77, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,77, Government Republic Union Myanmar, ORG ,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
1,1436,82, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,83, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,83, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,83, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,83, Union Peace - Making Work Committee, ORG ,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
1,1436,83, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,84, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,85, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,87, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,88, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,93, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,95, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
1,1436,97, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,101, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
1,1436,105, Ethnic Armed Organizations, ORG ,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
